date,category,amount
2024-01-01,Entertainment,23.66
2024-01-02,Transport,7.3
2024-01-03,Bills,127.25
2024-01-03,Food,18.62
2024-01-03,Entertainment,13.36
2024-01-04,Food,22.42
2024-01-05,Shopping,68.19
2024-01-05,Entertainment,43.58
2024-01-06,Entertainment,28.71
2024-01-06,Transport,6.71
2024-01-06,Shopping,70.54
2024-01-06,Shopping,62.86
2024-01-07,Food,16.54
2024-01-08,Food,17.41
2024-01-08,Food,10.58
2024-01-08,Shopping,97.43
2024-01-08,Shopping,27.71
2024-01-09,Shopping,0.5
2024-01-10,Entertainment,38.79
2024-01-10,Food,16.17
2024-01-11,Transport,6.24
2024-01-11,Bills,114.59
2024-01-11,Food,16.44
2024-01-12,Bills,104.72
2024-01-13,Shopping,56.75
2024-01-13,Entertainment,3.44
2024-01-13,Entertainment,7.22
2024-01-14,Entertainment,39.85
2024-01-14,Bills,118.84
2024-01-14,Entertainment,29.92
2024-01-14,Shopping,14.67
2024-01-15,Shopping,64.24
2024-01-15,Bills,149.29
2024-01-16,Bills,115.62
2024-01-16,Food,18.68
2024-01-16,Bills,89.99
2024-01-16,Transport,9.29
2024-01-17,Transport,7.62
2024-01-17,Shopping,75.9
2024-01-18,Bills,116.78
2024-01-18,Transport,8.47
2024-01-18,Transport,5.34
2024-01-19,Transport,6.56
2024-01-20,Food,18.41
2024-01-21,Bills,142.27
2024-01-22,Entertainment,42.29
2024-01-22,Transport,7.33
2024-01-22,Food,12.5
2024-01-23,Shopping,114.0
2024-01-23,Transport,7.81
2024-01-23,Entertainment,29.41
2024-01-23,Entertainment,26.67
2024-01-24,Bills,118.24
2024-01-24,Bills,134.7
2024-01-24,Transport,8.49
2024-01-25,Food,11.04
2024-01-26,Transport,5.02
2024-01-27,Transport,5.57
2024-01-27,Entertainment,15.75
2024-01-27,Bills,127.3
2024-01-27,Shopping,7.49
2024-01-28,Food,17.39
2024-01-28,Shopping,34.25
2024-01-28,Transport,10.42
2024-01-29,Transport,8.02
2024-01-29,Transport,6.09
2024-01-29,Transport,9.32
2024-01-29,Shopping,98.77
2024-01-30,Bills,129.63
2024-01-30,Shopping,261.6
2024-01-30,Food,20.08
2024-01-30,Bills,112.84
2024-01-31,Shopping,51.73
2024-02-01,Entertainment,38.3
2024-02-01,Shopping,71.02
2024-02-02,Bills,112.09
2024-02-02,Food,17.38
2024-02-03,Bills,128.32
2024-02-04,Bills,130.87
2024-02-04,Entertainment,34.36
2024-02-05,Entertainment,28.71
2024-02-06,Food,10.05
2024-02-06,Transport,5.38
2024-02-06,Entertainment,40.45
2024-02-07,Food,24.24
2024-02-07,Entertainment,27.89
2024-02-08,Entertainment,17.09
2024-02-08,Food,10.27
2024-02-08,Shopping,49.49
2024-02-09,Entertainment,3.01
2024-02-09,Transport,10.28
2024-02-09,Entertainment,49.52
2024-02-09,Shopping,0.5
2024-02-10,Bills,117.04
2024-02-10,Shopping,79.72
2024-02-11,Shopping,56.61
2024-02-11,Shopping,77.54
2024-02-11,Transport,6.17
2024-02-11,Entertainment,44.09
2024-02-12,Entertainment,37.7
2024-02-12,Entertainment,24.24
2024-02-13,Bills,103.46
2024-02-13,Bills,105.29
2024-02-13,Entertainment,40.65
2024-02-13,Entertainment,0.5
2024-02-14,Bills,130.3
2024-02-14,Food,17.95
2024-02-15,Bills,100.37
2024-02-15,Transport,5.23
2024-02-16,Entertainment,33.27
2024-02-16,Transport,87.2
2024-02-17,Food,23.03
2024-02-17,Entertainment,12.06
2024-02-17,Entertainment,34.4
2024-02-18,Bills,133.57
2024-02-18,Transport,6.09
2024-02-18,Shopping,19.08
2024-02-19,Bills,115.71
2024-02-19,Transport,6.94
2024-02-20,Shopping,0.5
2024-02-21,Shopping,119.7
2024-02-21,Shopping,43.4
2024-02-21,Transport,9.22
2024-02-22,Bills,117.77
2024-02-22,Transport,7.4
2024-02-23,Food,16.48
2024-02-23,Bills,140.86
2024-02-24,Transport,5.65
2024-02-24,Shopping,74.47
2024-02-24,Entertainment,62.5
2024-02-24,Bills,103.65
2024-02-25,Food,12.93
2024-02-26,Shopping,114.16
2024-02-26,Transport,4.34
2024-02-27,Shopping,88.56
2024-02-27,Entertainment,51.03
2024-02-27,Shopping,67.51
2024-02-28,Transport,10.02
2024-02-28,Shopping,23.81
2024-02-28,Transport,9.65
2024-02-29,Entertainment,12.96
2024-02-29,Transport,9.56
2024-02-29,Transport,11.0
2024-03-01,Entertainment,6.07
2024-03-01,Shopping,1.08
2024-03-02,Food,7.69
2024-03-02,Bills,98.62
2024-03-03,Bills,130.93
2024-03-04,Bills,128.08
2024-03-04,Transport,6.3
2024-03-05,Food,12.8
2024-03-06,Shopping,70.4
2024-03-06,Transport,3.76
2024-03-06,Shopping,0.5
2024-03-06,Food,14.24
2024-03-07,Bills,122.12
2024-03-08,Entertainment,0.5
2024-03-08,Food,20.35
2024-03-08,Entertainment,0.5
2024-03-09,Transport,6.27
2024-03-09,Entertainment,11.81
2024-03-10,Transport,8.31
2024-03-11,Shopping,23.13
2024-03-11,Food,18.66
2024-03-11,Transport,10.02
2024-03-11,Transport,7.19
2024-03-12,Transport,60.16
2024-03-12,Food,24.48
2024-03-12,Food,13.8
2024-03-13,Shopping,26.94
2024-03-13,Bills,156.07
2024-03-14,Bills,110.65
2024-03-14,Entertainment,43.34
2024-03-14,Entertainment,31.89
2024-03-14,Food,17.25
2024-03-15,Shopping,563.44
2024-03-15,Food,15.86
2024-03-15,Transport,5.91
2024-03-15,Food,5.56
2024-03-16,Food,141.52
2024-03-16,Shopping,39.58
2024-03-16,Transport,8.72
2024-03-17,Shopping,10.88
2024-03-18,Shopping,69.79
2024-03-18,Entertainment,41.6
2024-03-18,Transport,5.71
2024-03-19,Food,16.19
2024-03-19,Entertainment,51.62
2024-03-19,Entertainment,34.67
2024-03-20,Transport,5.91
2024-03-20,Bills,98.42
2024-03-21,Entertainment,21.73
2024-03-22,Shopping,74.38
2024-03-22,Food,16.57
2024-03-23,Shopping,30.16
2024-03-23,Entertainment,6.31
2024-03-24,Entertainment,18.15
2024-03-24,Shopping,52.52
2024-03-24,Food,12.7
2024-03-24,Entertainment,28.97
2024-03-25,Shopping,162.47
2024-03-25,Transport,3.67
2024-03-26,Transport,6.88
2024-03-26,Transport,8.15
2024-03-27,Food,20.35
2024-03-27,Transport,8.26
2024-03-28,Entertainment,16.31
2024-03-28,Bills,119.36
2024-03-29,Shopping,102.11
2024-03-29,Transport,9.01
2024-03-29,Food,16.54
2024-03-30,Bills,109.09
2024-03-31,Food,8.5
2024-03-31,Entertainment,36.75
2024-03-31,Entertainment,22.71
2024-03-31,Food,13.5
2024-04-01,Shopping,40.81
2024-04-02,Shopping,57.0
2024-04-02,Entertainment,23.16
2024-04-02,Transport,8.01
2024-04-03,Transport,4.47
2024-04-03,Shopping,313.84
2024-04-04,Transport,7.11
2024-04-04,Bills,140.64
2024-04-04,Transport,6.97
2024-04-05,Bills,131.08
2024-04-05,Shopping,14.24
2024-04-05,Transport,4.43
2024-04-06,Food,14.31
2024-04-07,Food,26.48
2024-04-07,Shopping,21.19
2024-04-07,Transport,81.30000000000001
2024-04-08,Bills,126.65
2024-04-08,Entertainment,61.07
2024-04-09,Entertainment,30.57
2024-04-09,Food,10.31
2024-04-09,Transport,7.81
2024-04-10,Food,17.96
2024-04-11,Bills,104.02
2024-04-12,Bills,121.59
2024-04-12,Entertainment,20.03
2024-04-12,Shopping,39.83
2024-04-13,Transport,5.93
2024-04-14,Food,13.6
2024-04-14,Bills,143.76
2024-04-15,Entertainment,27.3
2024-04-15,Shopping,100.16
2024-04-15,Entertainment,49.32
2024-04-16,Entertainment,19.19
2024-04-16,Food,17.06
2024-04-16,Bills,119.32
2024-04-17,Food,10.76
2024-04-17,Entertainment,10.76
2024-04-17,Bills,148.91
2024-04-18,Bills,148.97
2024-04-18,Entertainment,8.51
2024-04-18,Bills,111.36
2024-04-19,Transport,8.22
2024-04-19,Food,15.38
2024-04-19,Transport,9.26
2024-04-19,Food,15.8
2024-04-20,Bills,114.78
2024-04-20,Bills,103.55
2024-04-20,Entertainment,60.15
2024-04-21,Entertainment,28.08
2024-04-21,Shopping,70.45
2024-04-22,Transport,8.11
2024-04-22,Entertainment,16.87
2024-04-22,Entertainment,30.82
2024-04-23,Food,9.52
2024-04-23,Entertainment,36.25
2024-04-23,Bills,123.8
2024-04-23,Food,14.82
2024-04-24,Shopping,100.08
2024-04-24,Bills,138.03
2024-04-25,Transport,9.53
2024-04-25,Transport,7.69
2024-04-26,Bills,155.69
2024-04-26,Bills,117.33
2024-04-26,Transport,8.47
2024-04-26,Bills,104.16
2024-04-27,Bills,121.95
2024-04-27,Bills,98.42
2024-04-28,Bills,106.64
2024-04-28,Transport,9.04
2024-04-28,Transport,4.74
2024-04-28,Shopping,64.43
2024-04-29,Food,13.59
2024-04-30,Transport,7.92
2024-05-01,Entertainment,33.88
2024-05-01,Bills,132.34
2024-05-01,Entertainment,25.69
2024-05-02,Shopping,50.11
2024-05-02,Transport,9.15
2024-05-03,Transport,5.69
2024-05-04,Food,17.18
2024-05-04,Shopping,0.5
2024-05-05,Food,10.17
2024-05-05,Shopping,110.9
2024-05-05,Entertainment,18.9
2024-05-05,Transport,11.24
2024-05-06,Entertainment,41.25
2024-05-06,Shopping,54.75
2024-05-06,Entertainment,22.65
2024-05-07,Entertainment,46.83
2024-05-08,Transport,8.61
2024-05-09,Transport,7.05
2024-05-09,Bills,118.59
2024-05-10,Food,8.0
2024-05-10,Transport,9.51
2024-05-11,Transport,9.14
2024-05-11,Shopping,147.04
2024-05-12,Bills,159.86
2024-05-12,Entertainment,10.61
2024-05-12,Food,11.53
2024-05-12,Shopping,61.89
2024-05-13,Food,28.02
2024-05-13,Shopping,29.04
2024-05-14,Entertainment,22.92
2024-05-14,Food,15.98
2024-05-14,Transport,6.12
2024-05-15,Bills,101.69
2024-05-16,Entertainment,30.46
2024-05-16,Transport,8.39
2024-05-16,Shopping,27.84
2024-05-16,Entertainment,15.62
2024-05-17,Transport,4.31
2024-05-18,Food,14.03
2024-05-18,Bills,94.09
2024-05-18,Food,16.56
2024-05-18,Transport,7.01
2024-05-19,Entertainment,37.0
2024-05-19,Shopping,93.03
2024-05-19,Shopping,58.16
2024-05-20,Shopping,49.94
2024-05-20,Food,12.38
2024-05-21,Bills,125.87
2024-05-21,Bills,157.37
2024-05-22,Entertainment,14.79
2024-05-22,Shopping,53.61
2024-05-23,Food,16.81
2024-05-23,Shopping,32.47
2024-05-23,Transport,4.87
2024-05-23,Entertainment,23.3
2024-05-24,Bills,121.9
2024-05-25,Transport,6.58
2024-05-25,Food,22.78
2024-05-26,Bills,118.2
2024-05-26,Entertainment,27.69
2024-05-26,Transport,7.2
2024-05-27,Entertainment,0.5
2024-05-27,Transport,3.35
2024-05-28,Entertainment,50.5
2024-05-28,Transport,8.79
2024-05-28,Transport,4.2
2024-05-29,Entertainment,4.67
2024-05-29,Bills,123.3
2024-05-29,Shopping,119.07
2024-05-30,Bills,135.69
2024-05-30,Transport,6.25
2024-05-31,Bills,99.16
2024-05-31,Shopping,68.9
2024-05-31,Food,22.11
2024-06-01,Transport,4.33
2024-06-01,Food,17.03
2024-06-02,Transport,4.45
2024-06-02,Transport,6.05
2024-06-02,Entertainment,28.29
2024-06-02,Entertainment,45.29
2024-06-03,Transport,72.09
2024-06-03,Entertainment,50.43
2024-06-03,Bills,96.12
2024-06-04,Bills,140.05
2024-06-04,Food,13.22
2024-06-04,Shopping,52.41
2024-06-05,Entertainment,37.1
2024-06-06,Shopping,66.94
2024-06-06,Entertainment,370.4
2024-06-06,Food,22.51
2024-06-07,Shopping,86.96
2024-06-08,Food,5.06
2024-06-08,Transport,8.78
2024-06-08,Bills,112.06
2024-06-09,Food,10.29
2024-06-09,Shopping,60.34
2024-06-09,Entertainment,26.13
2024-06-09,Entertainment,21.05
2024-06-10,Food,8.59
2024-06-11,Bills,103.32
2024-06-11,Shopping,16.36
2024-06-11,Bills,904.75
2024-06-11,Food,14.46
2024-06-12,Food,12.75
2024-06-13,Bills,97.09
2024-06-14,Bills,138.42
2024-06-14,Entertainment,12.69
2024-06-15,Transport,6.47
2024-06-15,Shopping,50.75
2024-06-15,Bills,101.47
2024-06-16,Food,13.33
2024-06-16,Entertainment,26.45
2024-06-17,Shopping,55.51
2024-06-18,Entertainment,7.62
2024-06-18,Entertainment,54.84
2024-06-19,Shopping,29.54
2024-06-19,Entertainment,32.21
2024-06-20,Transport,3.99
2024-06-21,Shopping,41.09
